dataset,M,subset_index,members,sign_auc,snr_auc,magnitude_auc,tau09_coverage,tau09_false_trust_risk,zero_budget_cosine,accepted_components,total_components,K
TMM easy (near-saturated),5,27,0;1;3;5;7,0.855298457411,0.954854124748,0.93661971831,0.935227272727,0.00850546780073,0.994935699766,823,880,11
TMM easy (near-saturated),5,28,0;1;3;5;8,0.722942582763,0.940880910896,0.930629279955,0.944318181818,0.0180505415162,0.995225276237,831,880,11
TMM easy (near-saturated),5,29,0;1;3;5;9,0.762984981227,0.946008900014,0.938151856487,0.940909090909,0.018115942029,0.994376914724,828,880,11
TMM easy (near-saturated),5,30,0;1;3;6;7,0.859238765929,0.959968142186,0.949991616365,0.945454545455,0.00841346153846,0.995603810401,832,880,11
TMM easy (near-saturated),5,31,0;1;3;6;8,0.704176470588,0.953803921569,0.941568627451,0.956818181818,0.020190023753,0.995658690544,842,880,11
TMM easy (near-saturated),5,32,0;1;3;6;9,0.711311220031,0.947604392264,0.938903453779,0.953409090909,0.0202622169249,0.994988639121,839,880,11
TMM easy (near-saturated),5,33,0;1;3;7;8,0.852025530806,0.968868047414,0.946116104381,0.943181818182,0.00843373493976,0.995687199454,830,880,11
TMM easy (near-saturated),5,34,0;1;3;7;9,0.865803921569,0.970117647059,0.948549019608,0.938636363636,0.00847457627119,0.994996404345,826,880,11
TMM easy (near-saturated),5,35,0;1;3;8;9,0.694542253521,0.943494299128,0.928990610329,0.948863636364,0.0191616766467,0.99514607939,835,880,11
TMM easy (near-saturated),5,36,0;1;4;5;6,0.807686462252,0.946578517421,0.949808123409,0.944318181818,0.0132370637786,0.995452635857,831,880,11
TMM easy (near-saturated),5,37,0;1;4;5;7,0.905627198124,0.973817897616,0.949112066345,0.932954545455,0.00487210718636,0.995359641867,821,880,11
TMM easy (near-saturated),5,38,0;1;4;5;8,0.815745098039,0.961725490196,0.948274509804,0.940909090909,0.012077294686,0.995555574673,828,880,11
TMM easy (near-saturated),5,39,0;1;4;5;9,0.823651091642,0.954804616882,0.949833124739,0.9375,0.0133333333333,0.994848634946,825,880,11
TMM easy (near-saturated),5,40,0;1;4;6;7,0.9045217078,0.974013691227,0.959646910467,0.943181818182,0.00481927710843,0.995890423794,830,880,11
TMM easy (near-saturated),5,41,0;1;4;6;8,0.770833333333,0.959255533199,0.9476861167,0.953409090909,0.0143027413588,0.995919948077,839,880,11
TMM easy (near-saturated),5,42,0;1;4;6;9,0.768431372549,0.952392156863,0.949137254902,0.948863636364,0.0155688622754,0.995330716772,835,880,11
TMM easy (near-saturated),5,43,0;1;4;7;8,0.89918128655,0.972397660819,0.956070175439,0.940909090909,0.0048309178744,0.99593642814,828,880,11
TMM easy (near-saturated),5,44,0;1;4;7;9,0.907905767941,0.973801140174,0.954979879276,0.936363636364,0.00485436893204,0.995344158401,824,880,11
TMM easy (near-saturated),5,45,0;1;4;8;9,0.783156862745,0.961137254902,0.948823529412,0.946590909091,0.0144057623049,0.995447535238,833,880,11
TMM easy (near-saturated),5,46,0;1;5;6;7,0.856283534541,0.954854124748,0.942865526492,0.936363636364,0.00849514563107,0.995214108077,824,880,11
TMM easy (near-saturated),5,47,0;1;5;6;8,0.742315437517,0.948098332003,0.941259166382,0.946590909091,0.0180072028812,0.995450395889,833,880,11
TMM easy (near-saturated),5,48,0;1;5;6;9,0.749913085802,0.943610068141,0.941558893061,0.943181818182,0.0192771084337,0.994618727967,830,880,11
TMM easy (near-saturated),5,49,0;1;5;7;8,0.831726803005,0.963223481395,0.940992575225,0.935227272727,0.0097205346294,0.995299929195,823,880,11
TMM easy (near-saturated),5,50,0;1;5;7;9,0.828036125223,0.959706482567,0.929225826061,0.931818181818,0.00975609756098,0.994399946704,820,880,11
TMM easy (near-saturated),5,51,0;1;5;8;9,0.755715359021,0.951343422418,0.940753461415,0.940909090909,0.018115942029,0.99479062313,828,880,11
TMM easy (near-saturated),5,52,0;1;6;7;8,0.852503147931,0.9668273197,0.951673830924,0.944318181818,0.00842358604091,0.99592948391,831,880,11
TMM easy (near-saturated),5,53,0;1;6;7;9,0.867,0.967647058824,0.952,0.939772727273,0.00846432889964,0.995270805005,827,880,11
TMM easy (near-saturated),5,54,0;1;6;8;9,0.735885908019,0.954525353774,0.945201945755,0.951136363636,0.0191158900836,0.995364183426,837,880,11
TMM easy (near-saturated),5,55,0;1;7;8;9,0.837168846412,0.964662977867,0.947811871227,0.939772727273,0.00967351874244,0.995355446194,827,880,11
TMM easy (near-saturated),5,56,0;2;3;4;5,0.750544936284,0.944668008048,0.942069081154,0.946590909091,0.015606242497,0.99532699685,833,880,11
TMM easy (near-saturated),5,57,0;2;3;4;6,0.719546445339,0.947644198524,0.949782025486,0.959090909091,0.0177725118483,0.995750705501,844,880,11
TMM easy (near-saturated),5,58,0;2;3;4;7,0.823157894737,0.96449122807,0.95069005848,0.947727272727,0.00959232613909,0.99576445293,834,880,11
TMM easy (near-saturated),5,59,0;2;3;4;8,0.728534381458,0.957048502776,0.956157056607,0.955681818182,0.0178359096314,0.995859395319,841,880,11
TMM easy (near-saturated),5,60,0;2;3;4;9,0.697937625755,0.943410462777,0.942152917505,0.952272727273,0.0190930787589,0.995251781132,838,880,11
TMM easy (near-saturated),5,61,0;2;3;5;6,0.711691173677,0.944640753828,0.944450777005,0.951136363636,0.0203106332139,0.995176087329,837,880,11
TMM easy (near-saturated),5,62,0;2;3;5;7,0.849528895836,0.963483999826,0.940167600191,0.936363636364,0.00849514563107,0.995041995692,824,880,11
TMM easy (near-saturated),5,63,0;2;3;5;8,0.723023623323,0.947485716601,0.937436687062,0.945454545455,0.0180288461538,0.995340110094,832,880,11
TMM easy (near-saturated),5,64,0;2;3;5;9,0.707359702116,0.942399027319,0.935901819978,0.944318181818,0.0204572803851,0.994498628952,831,880,11
TMM easy (near-saturated),5,65,0;2;3;6;7,0.835895097912,0.967825973688,0.95210802831,0.947727272727,0.00959232613909,0.995736788928,834,880,11
TMM easy (near-saturated),5,66,0;2;3;6;8,0.714255860785,0.953873627417,0.952581785022,0.957954545455,0.0201660735469,0.995803548755,843,880,11
TMM easy (near-saturated),5,67,0;2;3;6;9,0.668921568627,0.945019607843,0.94262745098,0.956818181818,0.0225653206651,0.995145711438,842,880,11
